[jin] Timestamp: 2025-10-29 15:15:55.166971, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:01.819861, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:01.863438, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:01.885433, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:05.576363, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:16:05.750840, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:05.766821, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:05.818297, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:05.919009, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:05.971071, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:06.041271, Code: ABS_HAT0Y, State: -1
[kota] Timestamp: 2025-10-29 15:16:06.462965, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:16:06.518198, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:06.606605, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:06.841616, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:07.136461, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:07.314778, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:16:07.374618, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:16:07.570264, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:07.715850, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:08.017573, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:08.437794, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:08.553241, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:08.948243, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:09.462717, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:09.638578, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:09.883191, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:10.147572, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:10.650443, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:16:10.862071, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:10.902368, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:10.992802, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:11.233323, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:11.282685, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:11.502287, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:16:11.534786, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:11.746032, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:12.493740, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 15:16:13.734261, Code: ABS_HAT0X, State: 1
