Timestamp: 2025-10-28 17:54:09.635806, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:09.701285, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:09.917684, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:10.739092, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:10.757233, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:10.773187, Type: Absolute, Code: ABS_HAT0Y, State: -1
Timestamp: 2025-10-28 17:54:11.276277, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:11.516653, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:12.158752, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:12.315829, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:12.471392, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:12.657384, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:12.704542, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:12.813210, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:13.165775, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:13.263782, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:13.730885, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:54:13.748230, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:13.825532, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:13.903973, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:14.199832, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:54:14.606886, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:14.668402, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:14.977151, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:15.135756, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:54:15.514457, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:54:15.680344, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:15.799779, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:54:15.954159, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:54:16.049659, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:54:16.142595, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:54:16.269958, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:16.348468, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:16.793289, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:16.877850, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:16.939988, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:17.017334, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:17.017334, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:17.126600, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:17.220346, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:17.726437, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:17.752411, Type: Absolute, Code: ABS_HAT0Y, State: -1
Timestamp: 2025-10-28 17:54:18.490567, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:18.982946, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:19.075289, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:20.078953, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:54:20.222086, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:20.295119, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:20.381533, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:21.219606, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:21.340286, Type: Absolute, Code: ABS_HAT0X, State: 1
